License No,Business Name,Class,Class Detail,City
312044,PML LLC,CR-21,Hardscaping and Irrigation Systems,Surprise
96844,Arok Inc,B-1,General Commercial Contractor,Phoenix
311487,DWCM LLC,B,General Residential Contractor,Scottsdale
333213,Evex LLC,CR-80,Sewers Drains and Pipe Laying,Tucson
77053,Tepco Inc,C-37,Plumbing,Tucson
176504,W S C Inc,A,General Engineering,Flagstaff
238948,H B D LLC,B,General Residential Contractor,Cottonwood
297633,DAT-3 LLC,CR-11,Electrical,Scottsdale
325966,Tavas LLC,R-62,Minor Home Improvements,Lake Havasu City
337811,ROCHA LLC,C-39,Air Conditioning and Refrigeration,Tempe
129114,Kylaco Inc,B-2,General Small Commercial Contractor,Marana
250423,Edsart LLC,CR-60,Finish Carpentry,Phoenix
305545,Hybryd LLC,CR-67,Low Voltage Communication Systems,Mesa
325083,Vince Phan,CR-39,Air Conditioning and Refrigeration,Surprise
335389,Remsen LLC,B,General Residential Contractor,Glendale
70831,T R Orr Inc,A,General Engineering,Kingman
135992,Hesscor Inc,CR-5,As Restricted by the Registrar,Mesa
206211,Davirro LLC,CR-5,As Restricted by the Registrar,Phoenix
255826,Kukkola LLC,CR-39,Air Conditioning and Refrigeration,Mesa
284315,Jaime Ramos,CR-34,Painting and Wall Covering,Tolleson
310020,El Faro LLC,R-39R,Air Conditioning and Refrigeration,San Luis
325778,Decovon LLC,CR-34,Painting and Wall Covering,Phoenix
335293,Gigamen LLC,CR-37,Plumbing,Kingman
340716,HALCONN LLC,A,General Engineering,PAYSON
111349,C J Beth Inc,CR-60,Finish Carpentry,Payson
188216,Sign Tec LLC,C-38,Signs,Phoenix
235450,Leverage LLC,CR-61,Carpentry Remodeling and Repairs,Buckeye
281166,Cozyhome LLC,CR-40,Insulation,Flagstaff
302526,Nest Con LLC,KB-2,Dual Residential and Small Commercial,Phoenix
316790,Proscape LLC,CR-21,Hardscaping and Irrigation Systems,Gilbert
327378,Trim Tek Inc,KB-2,Dual Residential and Small Commercial,Arizona City
333088,Hi Homes LLC,B,General Residential Contractor,Buckeye
336887,TRUKRAFT LLC,KB-2,Dual Residential and Small Commercial,Phoenix
340196,Mira Frenkel,R-62,Minor Home Improvements,Tucson
85207,Charles Keith,CR-34,Painting and Wall Covering,Mesa
170256,Rapid Air LLC,CR-39,Air Conditioning and Refrigeration,Yuma
215680,Valerie Marak,R-39R,Air Conditioning and Refrigeration,Peoria
246315,Watertime Inc,CR-6,Swimming Pool Service and Repair,Tucson
276006,Aspen Air LLC,CR-39,Air Conditioning and Refrigeration,Phoenix
