License No,Business Name,Class,Class Detail,City
207987,Fauxoneone LLC,CR-5,As Restricted by the Registrar,New River
283985,Miller Homes LLC,B,General Residential Contractor,Gilbert
326323,ABC Creations LLC,CR-61,Carpentry Remodeling and Repairs,Mayer
326138,Nichols Design LLC,R-62,Minor Home Improvements,Chandler
305613,C & M  Builders Inc,KB-1,Dual Building Contractor,Gilbert
242432,Ez Flow Plumbing LLC,CR-37,Plumbing,Chandler
95433,Charles Scott Delaney,R-37R,Plumbing,Phoenix
335066,Patt Construction LLC,KB-1,Dual Building Contractor,Tempe
314286,JL Stainless Steel LLC,CR-45,Sheet Metal,Phoenix
278006,Posco Manufacturing Inc,R-62,Minor Home Improvements,Tucson
226747,A & C Floor Covering LLC,CR-8,Floor Covering,Avondale
183419,On Call Refrigeration Inc,CR-39,Air Conditioning and Refrigeration,Yuma
187233,Q T M Tile Contractors LLC,CR-48,Ceramic Plastic and Metal Tile,Prescott
240439,Air Design A C and Heat LLC,CR-39,Air Conditioning and Refrigeration,Phoenix
310421,Lopez Brothers Interiors LLC,CR-1,Acoustical Systems,Laveen
337344,Fire Sprinkler Installers LLC,CR-16,Fire Protection Systems,GILBERT
289032,Royal Construction Services LLC,CR-61,Carpentry Remodeling and Repairs,Phoenix
285262,Sanctuary Custom Construction LLC,B,General Residential Contractor,Tucson
262093,Marcon Excavating & Construction Inc,CR-9,Concrete,Tucson
200711,Bjerk Builders Residential Construction LLC,B,General Residential Contractor,Gilbert



